hotel,district,season,sentiment,topic,reviews_count
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,NEUTRAL,Комфорт/шум,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,NEUTRAL,Сервис,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,NEUTRAL,Цена,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,POSITIVE,Еда,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,POSITIVE,Расположение,4
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,POSITIVE,Сервис,3
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,POSITIVE,Чистота,3
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,NEGATIVE,Расположение,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,NEGATIVE,Сервис,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,NEUTRAL,Еда,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,NEUTRAL,Комфорт/шум,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,NEUTRAL,Расположение,4
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,NEUTRAL,Сервис,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,NEUTRAL,Чистота,1
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,POSITIVE,Комфорт/шум,3
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,POSITIVE,Расположение,3
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,POSITIVE,Сервис,2
Автозаводская,Автозаводский,Весна,POSITIVE,Сервис,2
Автозаводская,Автозаводский,Зима,NEUTRAL,Расположение,1
Автозаводская,Автозаводский,Зима,NEUTRAL,Чистота,1
Автозаводская,Автозаводский,Зима,POSITIVE,Еда,1
Автозаводская,Автозаводский,Зима,POSITIVE,Расположение,4
Автозаводская,Автозаводский,Зима,POSITIVE,Сервис,1
Автозаводская,Автозаводский,Зима,POSITIVE,Чистота,3
Автозаводская,Автозаводский,Лето,NEGATIVE,Еда,1
Автозаводская,Автозаводский,Лето,NEGATIVE,Сервис,1
Автозаводская,Автозаводский,Лето,NEUTRAL,Расположение,3
Автозаводская,Автозаводский,Лето,POSITIVE,Еда,1
Автозаводская,Автозаводский,Лето,POSITIVE,Расположение,4
Автозаводская,Автозаводский,Лето,POSITIVE,Сервис,5
Автозаводская,Автозаводский,Осень,NEGATIVE,Расположение,1
Автозаводская,Автозаводский,Осень,NEUTRAL,Сервис,1
Автозаводская,Автозаводский,Осень,POSITIVE,Еда,1
Автозаводская,Автозаводский,Осень,POSITIVE,Расположение,2
Автозаводская,Автозаводский,Осень,POSITIVE,Сервис,6
Автозаводская,Автозаводский,Осень,POSITIVE,Чистота,4
Агродом,Нижегородский,Весна,NEUTRAL,Комфорт/шум,1
Агродом,Нижегородский,Весна,NEUTRAL,Расположение,1
Агродом,Нижегородский,Весна,NEUTRAL,Сервис,1
Агродом,Нижегородский,Зима,POSITIVE,Сервис,2
Агродом,Нижегородский,Зима,POSITIVE,Чистота,1
Агродом,Нижегородский,Лето,NEGATIVE,Еда,1
Агродом,Нижегородский,Лето,NEUTRAL,Еда,1
Агродом,Нижегородский,Лето,NEUTRAL,Комфорт/шум,1
Агродом,Нижегородский,Лето,NEUTRAL,Расположение,2
Агродом,Нижегородский,Лето,NEUTRAL,Чистота,4
Агродом,Нижегородский,Лето,POSITIVE,Комфорт/шум,1
Агродом,Нижегородский,Лето,POSITIVE,Расположение,1
Агродом,Нижегородский,Лето,POSITIVE,Сервис,1
Агродом,Нижегородский,Лето,POSITIVE,Чистота,1
Агродом,Нижегородский,Осень,NEGATIVE,Расположение,1
