season,sentiment,lemma,count
Весна,positive,неплохой,11
Весна,positive,единственный,10
Весна,positive,микроволновка,10
Весна,positive,белоснежный,10
Весна,positive,современный,10
Весна,positive,тишина,10
Весна,positive,впечатление,10
Весна,positive,ремонт,10
Весна,positive,гель,10
Весна,positive,гость,10
Весна,positive,санузел,9
Весна,positive,матрас,9
Весна,positive,район,9
Весна,positive,идеальный,9
Весна,positive,транспорт,9
Весна,positive,отлично,9
Весна,positive,уровень,9
Весна,positive,доступность,9
Весна,positive,стоимость,9
Весна,positive,зубной,9
Весна,positive,везде,9
Весна,positive,любой,9
Весна,positive,дом,9
Весна,positive,удобство,9
Весна,positive,недалеко,9
Весна,positive,домашний,9
Весна,positive,капсула,9
Весна,positive,сытный,8
Весна,positive,проблема,8
Весна,positive,дорога,8
Весна,positive,кулер,8
Весна,positive,аккуратно,8
Весна,positive,вечером,8
Весна,positive,уборка,8
Весна,positive,метро,8
Весна,positive,спокойно,8
Весна,positive,такси,8
Весна,positive,общественный,8
Весна,positive,аэропорт,8
Весна,positive,столовая,8
Весна,positive,семья,8
Весна,positive,тёплый,8
Весна,positive,заезд,8
Весна,positive,мыло,8
Весна,positive,набор,8
Весна,positive,спокойный,8
Весна,positive,минь,8
Весна,positive,сервис,8
Весна,positive,качество,8
Весна,positive,несколько,8
Весна,positive,классный,8
Весна,positive,ванная,8
Весна,positive,особенно,8
Весна,positive,выбор,7
Весна,positive,ужин,7
Весна,positive,нормальный,7
Весна,positive,халат,7
Весна,positive,посуда,7
Весна,positive,двор,7
Весна,positive,стол,7
Весна,positive,целое,7
Весна,positive,туалет,7
Весна,positive,общий,7
Весна,positive,немного,7
Весна,positive,одноразовый,7
Весна,positive,воздух,7
Весна,positive,здание,7
Весна,positive,майский,7
Весна,positive,мебель,7
Весна,positive,достопримечательность,7
Весна,positive,исторический,7
Весна,positive,обязательно,7
Весна,positive,комфорт,7
Весна,positive,люкс,7
Весна,positive,сразу,7
Весна,positive,огромный,7
Весна,positive,интерьер,7
Весна,positive,мягкий,7
Весна,positive,наш,6
Весна,positive,дверь,6
Весна,positive,практически,6
Весна,positive,чашка,6
Весна,positive,великолепный,6
Весна,positive,подушка,6
Весна,positive,комплекс,6
Весна,positive,сюда,6
Весна,positive,связь,6
Весна,positive,плохой,6
Весна,positive,светлый,6
Весна,positive,шаговый,6
Весна,positive,остальной,6
Весна,positive,вокзал,6
Весна,positive,девочка,6
Весна,positive,утро,6
Весна,positive,пешком,6
Весна,positive,щётка,6
Весна,positive,полный,6
Весна,positive,дружелюбный,6
Весна,positive,душевой,6
Весна,positive,вариант,6
Весна,positive,главное,6
Весна,positive,добрый,6
Весна,positive,одеяло,6
Весна,positive,домик,6
Весна,positive,выходной,6
Весна,positive,отдельно,5
Весна,positive,довольно,5
Весна,positive,рубль,5
Весна,positive,стиль,5
Весна,positive,благодарность,5
Весна,positive,далеко,5
Весна,positive,вопрос,5
Весна,positive,близко,5
Весна,positive,приём,5
Весна,positive,бюджетный,5
Весна,positive,аккуратный,5
Весна,positive,заранее,5
Весна,positive,зона,5
Весна,positive,горячий,5
Весна,positive,помещение,5
Весна,positive,местный,5
Весна,positive,ходьба,5
Весна,positive,год,5
Весна,positive,положительный,5
Весна,positive,сотрудник,5
Весна,positive,эконом,5
Весна,positive,нормально,5
Весна,positive,утром,5
Весна,positive,поздний,5
Весна,positive,прямо,5
